dataset,filename,category,score,bg_class,reason
ecommerce118k,fd45773fb9ae8bc0e60c02df9f7f3e5a.jpg,travel,6.25,plain,Plain white background with text overlay.
ecommerce118k,4e2f4d82512c4a148cf264144d857f6f.jpg,jacket,7.5,lifestyle,A neutral indoor setting with soft lighting and minimal decor.
ecommerce118k,7cf18947df1a328fe4d0a1396d0f876c.jpg,perfume,6.25,cluttered,The background is cluttered and distracting.
ecommerce118k,04a20d67709b27f6b4d4d49c78669313.jpg,cap,9.0,plain,Plain white background with slight shadows.
ecommerce118k,c836af469c87c3e8e6aa1fcce39a89f5.jpg,audio,6.75,plain,A vibrant purple background with a smartphone and cables.
ecommerce118k,9a3eab8ba9a948eefbf3f3dae3229519.jpg,sports,8.5,plain,A plain white background with a product box and table tennis balls.
ecommerce118k,1cd5494889e84f7657bd4444b764dc41.jpg,women dresses,8.0,plain,Plain beige background with no distractions.
ecommerce118k,5e1a6a2bd6b06ff6710bf843ba105f78.jpg,clothing and t-shirt,5.5,cluttered,The background is cluttered and distracts from the product.
ecommerce118k,86511c2c1a6d0bae373703f5e2c82d45.jpg,personal protective equipment,9.25,plain,A plain light blue background.
ecommerce118k,279b5c2ba959c5ebdd5fe8c263a35b2a.jpg,rings,6.5,lifestyle,A hand holding the product with a blurred background.
ecommerce118k,bf4cb173b17ba97c3fce6f1239446482.jpg,toy cars,7.5,plain,"The background is a dark surface with a reflection, possibly a table."
ecommerce118k,902dde485ebdabb92f7ba57aa80e8a86.jpg,coffee,6.0,plain,Text overlays are distracting.
ecommerce118k,910c9933f87b421f3d4d7c9087f52f66.jpg,audio,6.5,plain,Plain white background with a pink border.
ecommerce118k,8fce2045b36a61e31f957d726519559f.jpg,laptop,9.75,plain,A plain white background with a subtle gradient.
ecommerce118k,9f38d16b8c2ef380b78089e9fa9cabbb.jpg,clock,8.25,lifestyle,A living room setting with a couch and decorative items.
ecommerce118k,7d08f0ee71020f9f275d0c744a1adccc.jpg,chair,9.25,plain,A plain white background.
ecommerce118k,5a8c62c689245abc27fef26cfff9f49b.jpg,bathroom accessories,6.5,plain,The background is plain and white.
ecommerce118k,c91f47aa032a5316778032f7e2eede7c.jpg,coffee,5.0,cluttered,The background is cluttered with logos and equipment.
ecommerce118k,0a11bb60618e7411d914938a27a2da65.jpg,coffee,7.5,plain,The background is plain and neutral.
ecommerce118k,51c53be91539dde4e011c40c68a162e0.jpg,phone cover,7.25,plain,A plain white background with subtle shadows.
ecommerce118k,07a7d940e04b6eecb9ff28d0eea44594.jpg,sports and outdoors,7.5,plain,A plain white background.
ecommerce118k,73a79a10744feefb04a5e767e3d09638.jpg,feeding and nursing,7.25,plain,A plain white background with product packaging visible.
ecommerce118k,18fbe87c0847953e510e89637e329aa7.jpg,travel,9.75,plain,The background is plain white.
ecommerce118k,65d855c6b094c50b7c40c189ffdf3137.jpg,audio,6.0,cluttered,The background is cluttered and distracting.
ecommerce118k,0c83a6b040d0e9a385bf59d2821c5b22.jpg,jacket,3.75,cluttered,Cluttered background with distracting text.
ecommerce118k,e1e0a8b290d5febeeb549b986e865905.jpg,travel,7.5,plain,Plain white background with no distractions.
ecommerce118k,3e38d35ff9a707293fd4d61bcf3b6f23.jpg,couch and cushions,7.0,cluttered,The background is cluttered with other furniture items visible.
ecommerce118k,7b766e7b91d5d308908110667e301d1d.jpg,rice cooker,8.0,plain,A plain white background with no distractions.
ecommerce118k,60e336912ad39a22faf9b44a63645427.jpg,heels,8.5,plain,Plain light-colored background with minimal distractions.
ecommerce118k,7a0fe711d12cc86302807120ec4c6136.jpg,feeding and nursing,9.25,plain,Plain white background with no distractions.
ecommerce118k,9d8057976e4a5f70e1040ea28dc31d7c.jpg,clock,4.0,cluttered,The image has distracting text overlays and a cluttered background.
ecommerce118k,c1d0f05857a8a19dfaea8e9f4d615b05.jpg,bathroom accessories,5.5,lifestyle,Text overlays are distracting.
