dataset,filename,category,score,bg_class,reason
bg60k,13958.png,casual pants,8.25,plain,"A plain, gradient gray studio background with soft lighting."
bg60k,57020.png,men sandals,9.0,lifestyle,"A blurred natural outdoor scene with rocks and greenery, suggesting a hiking or trail environment."
bg60k,42329.png,basketball shoes,9.25,plain,"A clean, reflective black surface that mirrors the sneakers, creating a studio-like effect."
bg60k,32460.png,electric kettle,9.0,lifestyle,"A clean, white subway tile backsplash behind a wooden countertop."
bg60k,55066.png,Bluetooth or Wireless Headphones,9.0,lifestyle,"A stylized, minimalist studio setup with geometric blue blocks and a reflective black circular platform."
bg60k,15807.png,Pastries or Snacks,9.5,plain,"A plain, solid light green surface behind the product box."
bg60k,15695.png,Men business or formal leather shoes,9.0,plain,"A plain, solid beige studio background with two white product display blocks."
bg60k,52348.png,Laundry detergent or soap,8.25,lifestyle,A blurred white washing machine and a folded towel are visible behind the product.
bg60k,26994.png,gold earrings,9.25,plain,"A smooth, textured teal surface with soft, directional lighting creating subtle shadows."
bg60k,28237.png,Men slippers,7.25,lifestyle,A white keyboard and a white shoebox are visible behind the sandals on a black surface.
bg60k,15217.png,Gastrointestinal care,8.25,lifestyle,A blurred bathroom counter with a candle and green soap dispenser in the background.
bg60k,60656.png,electric fan,8.75,lifestyle,"A soft-focus, muted green wall with blurred foliage and a wooden headboard on the right, suggesting a calm bedroom setting."
bg60k,30902.png,Flip Chart or Fold Chart,9.0,plain,A solid blue wall with two framed 3D topographic maps hanging on it.
bg60k,6201.png,Lunch box or pot,9.0,lifestyle,A gray sofa with a draped blanket and a gray table with a gray lunchbox in the background.
bg60k,42308.png,air conditioner,9.5,plain,"A plain, light gray textured wall behind the air conditioner."
bg60k,19980.png,cell phone,10.0,plain,A solid black background with no other objects or distractions.
bg60k,31522.png,This booklet or notes,8.75,lifestyle,"A smooth, gradient blue surface with soft, out-of-focus leaf shadows."
ecommerce118k,09d5ca57fad0e038174d849ad1888071.jpg,disinfectants and sanitizers,9.0,plain,"The product is set against a plain white background, typical of a studio product shot."
ecommerce118k,637fd9a25cb05159a94b126bfcdd5081.jpg,sneakers,8.25,lifestyle,The shoes are placed on a concrete ground with a red and beige Vans shoebox partially visible behind them.
ecommerce118k,141f2e495c96d5eae68f37716a8e58f8.jpg,food storage and tableware,7.25,plain,"A plain, light-colored surface with some soft shadows and a faint watermark-like blue rectangle in the lower center."
ecommerce118k,ef6d62b42f4fc242e42fb47cd79b3a40.jpg,men fashion,7.5,plain,"Plain, neutral grey studio background with no distracting elements."
ecommerce118k,ad7614c54ab130a832ab1c3933dbca5b.jpg,earring,10.0,plain,"A plain, solid white background with no distractions."
ecommerce118k,8095591d71c190b14660e8ee743452d7.jpg,toy cars,8.25,plain,"A plain, solid white surface with soft, even lighting."
ecommerce118k,afc41e6c42cb0070a3ad57155d250236.jpg,laptop,7.5,plain,The product is displayed against a plain white background with no clutter or distractions.
ecommerce118k,102ec2b14adb98b618805a1327d1dfe7.jpg,personal protective equipment,5.0,cluttered,"The background is cluttered with multiple product boxes, distracting from the main subject and reducing professional appeal."
ecommerce118k,2e47bd5a79553e4bb507caa32a5d9b83.jpg,disinfectants and sanitizers,6.25,plain,Plain white background with no clutter or distractions.
ecommerce118k,cfdbf9546ec96ecc79dd72b72f5d9720.jpg,jacket,9.0,plain,"A plain, light gray studio background with no distractions."
ecommerce118k,d47ebf85a50486ac02bac23586d8b89a.jpg,makeup,6.25,plain,A plain white studio background with soft shadow under the product.
ecommerce118k,39a9d012cae2c1a1ff1cfd4e5f71ab5a.jpg,toy cars,9.0,plain,"A plain, light-colored surface, likely a wall or table, with no distracting elements."
ecommerce118k,1917dfd102e6b61735c00dcfd0c3b846.jpg,home decor,9.25,plain,"A plain, solid white studio background with no distractions."
ecommerce118k,6af0073fd8696a3d9eee04db30c9afdf.jpg,coffee,8.25,plain,"The product is photographed against a plain white background, which is clean and distraction-free."
ecommerce118k,510e1e99f9f817bb5949319b74ec0eef.jpg,sports,7.0,plain,"A plain, off-white surface with no clutter or distracting elements."
ecommerce118k,e1a3a11c43452ff3f995f317d57290a2.jpg,rice cooker,7.25,plain,"A plain white wall and floor, with a slight shadow visible behind the product."
ecommerce118k,e0419901010f3d13a135e97feb76b614.jpg,feeding and nursing,8.25,plain,A plain white studio background with soft shadowing under the product.
ecommerce118k,c39c986ba090946cd0aa8c19677ed9d2.jpg,clock,6.25,plain,"A plain, light gray studio background with a thin orange border framing the image."
ecommerce118k,fd45773fb9ae8bc0e60c02df9f7f3e5a.jpg,travel,7.25,plain,"The background is a plain, light gray studio backdrop with a white border, with the product shown in a collage format."
ecommerce118k,4e2f4d82512c4a148cf264144d857f6f.jpg,jacket,6.25,lifestyle,The image has prominent seller-added text overlays ('Resfaro') that distract from the product and reduce its professional appeal.
ecommerce118k,7cf18947df1a328fe4d0a1396d0f876c.jpg,perfume,6.25,cluttered,"The background is cluttered and distracting, with an unprofessional split composition that undermines the product's visual appeal."
ecommerce118k,04a20d67709b27f6b4d4d49c78669313.jpg,cap,9.0,plain,"A plain white surface with subtle shadows and faint lines, likely a studio or tiled floor."
ecommerce118k,c836af469c87c3e8e6aa1fcce39a89f5.jpg,audio,7.25,plain,A vibrant purple gradient surface with a partial view of a black electronic device at the top right.
ecommerce118k,9a3eab8ba9a948eefbf3f3dae3229519.jpg,sports,9.25,plain,"A plain, light gray surface with the product's blue packaging visible behind the three ping pong balls."
ecommerce118k,1cd5494889e84f7657bd4444b764dc41.jpg,women dresses,7.5,plain,"A plain, light-colored wall with a white baseboard."
ecommerce118k,5e1a6a2bd6b06ff6710bf843ba105f78.jpg,clothing and t-shirt,7.75,lifestyle,"A blurred indoor café or restaurant setting with other patrons, wooden furniture, and decorative hanging elements."
ecommerce118k,86511c2c1a6d0bae373703f5e2c82d45.jpg,personal protective equipment,9.0,plain,"A plain, solid light teal background with soft, even lighting."
ecommerce118k,279b5c2ba959c5ebdd5fe8c263a35b2a.jpg,rings,5.75,lifestyle,The image has multiple text overlays that distract from the product and reduce its professional appeal.
ecommerce118k,bf4cb173b17ba97c3fce6f1239446482.jpg,toy cars,8.25,plain,"A dark, textured surface with a subtle carbon fiber pattern, likely a display mat or table."
ecommerce118k,902dde485ebdabb92f7ba57aa80e8a86.jpg,coffee,7.5,plain,A plain white background with black hand-drawn coffee cup icons and decorative lines framing the image.
ecommerce118k,910c9933f87b421f3d4d7c9087f52f66.jpg,audio,6.25,plain,The image has prominent seller-added text overlays ('READY STOCK') that detract from its professionalism and commercial appeal.
ecommerce118k,8fce2045b36a61e31f957d726519559f.jpg,laptop,9.5,plain,"A plain, solid light gray studio background with no objects or distractions."
ecommerce118k,9f38d16b8c2ef380b78089e9fa9cabbb.jpg,clock,6.75,lifestyle,"The image has a minor watermark or text overlay ('TIME') on the product itself, which is a significant flaw for e-commerce."
ecommerce118k,7d08f0ee71020f9f275d0c744a1adccc.jpg,chair,9.5,plain,"A plain, solid white background with no objects or distractions."
ecommerce118k,5a8c62c689245abc27fef26cfff9f49b.jpg,bathroom accessories,5.75,plain,"The image has a large, distracting watermark overlay that significantly reduces its commercial appeal."
ecommerce118k,c91f47aa032a5316778032f7e2eede7c.jpg,coffee,7.5,plain,"A clean, neutral-toned studio wall with a computer monitor displaying a graph and a small spotlight fixture."
ecommerce118k,0a11bb60618e7411d914938a27a2da65.jpg,coffee,8.0,plain,"The background is a plain, neutral-colored surface with no visible clutter or distracting elements."
ecommerce118k,51c53be91539dde4e011c40c68a162e0.jpg,phone cover,7.25,plain,"A plain, softly lit white fabric background with gentle folds, creating a clean and minimalist studio-like setting."
ecommerce118k,07a7d940e04b6eecb9ff28d0eea44594.jpg,sports and outdoors,7.25,plain,A plain white studio background with no distractions.
ecommerce118k,73a79a10744feefb04a5e767e3d09638.jpg,feeding and nursing,7.5,plain,"A plain white surface with faint gray grid lines, likely a studio or photo shoot backdrop."
ecommerce118k,18fbe87c0847953e510e89637e329aa7.jpg,travel,9.5,plain,The product is photographed against a plain white studio background.
ecommerce118k,65d855c6b094c50b7c40c189ffdf3137.jpg,audio,6.75,lifestyle,"The background is distracting with a reflection of a person and a dessert, which detracts from the product's presentation."
ecommerce118k,0c83a6b040d0e9a385bf59d2821c5b22.jpg,jacket,6.25,lifestyle,The image has prominent seller-added text overlay ('Jkt karlit recing') that distracts from the product and lowers its commercial appeal.
ecommerce118k,e1e0a8b290d5febeeb549b986e865905.jpg,travel,7.5,plain,"The product is shown against a plain white background, which is clean and distraction-free."
ecommerce118k,3e38d35ff9a707293fd4d61bcf3b6f23.jpg,couch and cushions,8.0,plain,A plain white wall and tiled floor with another wrapped sofa visible in the background.
ecommerce118k,7b766e7b91d5d308908110667e301d1d.jpg,rice cooker,8.25,plain,"A plain, solid white studio background with soft, even lighting."
ecommerce118k,60e336912ad39a22faf9b44a63645427.jpg,heels,7.0,lifestyle,"A light-colored, slightly textured floor with a blurred magazine or newspaper in the upper right corner."
ecommerce118k,7a0fe711d12cc86302807120ec4c6136.jpg,feeding and nursing,9.0,plain,"A plain, solid white background with no distractions."
ecommerce118k,9d8057976e4a5f70e1040ea28dc31d7c.jpg,clock,6.25,plain,The image has a large green text overlay 'Toko Jam ACC' that distracts from the product and reduces its commercial appeal.
ecommerce118k,c1d0f05857a8a19dfaea8e9f4d615b05.jpg,bathroom accessories,6.25,lifestyle,The image has distracting text watermarks and a cluttered lifestyle background that detracts from the product's professionalism.
